Francesca,Construction ID,Name,Form,Function,Formal Tags,Functional Tags,Schematicity Level,Examples 1,Source,Examples 2,Source,Examples 3,Source,Examples 4,Source,Examples 5,Source,Idiomaticity Level Function,Explain,Idiomaticity Level Form,Explain,Idiomaticity Level Restrictions,Explain,Idiomaticity Level Collocational Preferences,Explain,Idiomaticity Level Usage Familiarity,Explain,Data Collector,Notes
rev,13,,"più che mai + Adj
Variante: più + Adj + che mai",Funzione avverbiale: accresce il significato dell'aggettivo posto all'interno della costruzione,,intensification,partially filled/schematic,Il personal computer sarà più che mai semplice e standard.,Corpus: CORIS,La sua attrattiva è più viva che mai.,Corpus: CORIS,"Dopo quell'umiliazione, era più che mai deciso a non invitare nessuno.",Corpus: CORIS,Joss era dimagrito e sembrava più vulnerabile che mai.,Corpus: CORIS,Gli Stati Uniti hanno oggi un'occupazione più alta che mai.,Corpus: CORIS,no,,yes,Una parte della costruzione è fissa e non funzionerebbe se l'ordine dei costituenti fosse diverso.,yes,L'elemento che si inserisce nella costruzione - e che viene quindi modificato - è sempre un aggettivo.,no,,no,,Gina Saviano,
ID_5,14,,bello/a come Det N,"generalmente questa costruzione, che si presenta come una similitudine, viene usata al posto del superlativo assoluto “bellissimo/a” (detto di una persona) in modo da accentuare il complimento espresso  ",similutide,intensification,partially filled/schematic,"Aveva saputo per lettera che lontano, a casa, la giovane moglie gli aveva appena partorito un figlio bello come il sole",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=29254770&End=29254770  ,Vede nelle fotografie e nei disegni la trasformazione di un giovane che era bello come un angelo in un uomo devastato dalla crudeltà ottusa dei suoi simili,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=25633205&End=25633206  ,"Accidenti ... innamorarsi di un uomo bello come un dio , più ricco di Onassis , e con una Stanza Rossa delle Torture che mi aspetta",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=50494567&End=50494568  ,,,,,no,"il significato complessivo dell’espressione è predicibile dalla somma dei significati delle parti costituenti. La predicibilità va ricollegata al fatto che si tratta di una similitudine, e come tale ritaglia un paragone tra due entità accomunate da una qualche caratteristica. Nella fattispecie, come si può notare dagli esempi raccolti, il paragone avviene con il sole, un angelo e un dio, che per definizione incarnano la bellezza suprema",no,la costruzione non presenta peculiarità sul piano sintattico,yes,"come si può notare dagli esempi forniti, all’interno della costruzione ci sono due slot strutturali fissi, ovvero quello riempito dall’aggettivo qualificativo “bello” (passibile di flessione) e quello riempito dalla congiunzione “come” (per innestare la similitudine). Le altre posizioni presentano una parziale flessibilità, in quanto il Det può essere sia definito che indefinito e il N può differire da contesto a contesto, anche se bisogna sempre lasciarne invariata la semantica positiva. In altre parole, non si può, per esempio, dire “bello come un morto”, perché in quel caso staremmo di fronte a un altro tipo di costruzione, con uno scopo diverso",yes,la costruzione predilige i nomi che presentano una semantica intrinsecamente positiva,yes,"l'espressione è più frequente rispetto ad altre forme altrettanto disponibili nel lessico mentale dei parlanti, ma viene preferita per la sua maggiore efficacia comunicativa. Inoltre, sebbene una espressione come ""bello/a come una stella"" è altrettanto ben formata e comprensibile, non è quella che viene effettivamente impiegata dai parlanti italofoni",Syria Imparato ,
,15,,piove + Avv di modo,l’espressione viene utilizzata per indicare una pioggia abbondante,modality,intensification,partially filled/schematic,"In qualche modo ricorda Quebec City per il "" vecchio "" del centro ma piove a dirotto per cui mi limito ad un giretto in macchina e , quando smette ad una non lunga passeggiata nel quartiere dei ristoranti , mercato all’aperto e negozi",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=4853113&End=4853114  ,«Devo uscire di qui.» « Ma piove a catinelle » protesta Rafi,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=153771509&End=153771510,Può lambire gli immensi ficus su cui il sole piove a cascate in piazza Marina e sentire l'odore del mare impregnare le pietre di tufo,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=57218135&End=57218136  ,,,,,no,non è idiomatica perché il significato dell’espressione è deducibile dalla somma dei significati dei componenti che la costituiscono,no,non presenta anomalie dal punto di vista sintattico,yes,il verbo deve essere impersonale e selezionare necessariamente una locuzione avverbiale di modo,yes,"come testimoniato nel corpus di riferimento, il verbo occorre unicamente con tre espressioni di modo quali “a catinelle”, “a dirotto”, “a cascate”",yes,"è un’espressione utilizzata di frequente dai parlanti nativi per descrivere abbondanti piogge. Viene utilizzata al posto di espressioni come: “piove tanto”, “piove abbondantemente”, per porre l’enfasi sul concetto di abbondanza. L’espressione infatti risulta più intuitiva e più efficace.  ",Gloria Fioroni,
,16,,,"locuzione avverbiale che ha il significato di “molto celermente”. Sostituisce quest’ultima espressione per porre enfasi sul concetto di velocità, ulteriormente espresso dal ritmo con cui si pronuncia la costruzione, che è di fatto composta in maggioranza da parole monosillabiche (salvo “dica”)",complex adverb,intensification,lexically filled,"Non c'era nemmeno una panchina in giro per riposarmi un po', così mi sedetti per terra appoggiando la schiena contro un albero del viale e come mi succedeva spesso ultimamente mi ritrovai nel mondo dei sogni in men che non si dica",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=21030163&End=21030163,Questa fase però svanirà in men che non si dica,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=9366602&End=9366602 ,"Ma Petruccioli non sente ragioni e mette subito all'ordine del giorno la votazione, bruciando così il rivale in men che non si dica",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=28773534&End=28773534,"Dal fuoristrada, in men che non si dica scesero quattro ragazzi",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=22292401&End=22292401 ,"Quella strada lo avrebbe rapidamente immesso sulla statale e poi, in men che non si dica , lui si sarebbe ritrovato nei pressi della stradina che conduceva al Colle dello Scopatore",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=30535272&End=30535272,no,il significato dell’espressione è facilmente intuibile a partire dalla somma dei significati assunti dai vari componenti che la costituiscono,yes,"la costruzione si presenta come anomala rispetto alle regole morfosintattiche dell'italiano a causa di una ellissi di natura frasale. Di fatti, è del tutto assente parte della comparazione tra i due termini della costruzione, che potrebbe essere così parafrasata ""in meno tempo rispetto a quello che si impiegherebbe a dir(lo)"".",yes,"l’espressione è totalmente fissa, ossia è vincolata a determinati slot strutturali. Tuttavia, è possibile rintracciare una forma analoga come “in men che non si immagini”, dove il verbo “dire” viene sostituito da “immaginare”. In ogni caso, il verbo è sempre coniugato alla terza persona singolare del congiuntivo presente, tant'è che un'espressione come *""In men che non si dice/dicono/..."" è agrammaticale",yes,"nella stragrande maggioranza dei casi, la prima parte della costruzione, verosimilmente quella formata da “in men che non si”, è accompagnata dal verbo “dire”",yes,"la costruzione viene di solito preferita a forme funzionalmente corrispondenti quali, per esempio, “molto celermente, molto in fretta, all’istante”, per la sua maggiore intensità in termini di effetto sull’interlocutore. Sembra infatti che porti con sé un senso di velocità più esplicito rispetto a quello che espressioni analoghe possano veicolare",Syria Imparato,"La costruzione predilige la forma verbale ""dica"", ma in un esempio tratto dal CORIS è stato rintracciato un esempio in cui compare la forma verbale ""immagini"". Si riporta di seguito l'esempio:
In  non s ' immagini , ci porge due foglietti e un pastello rosso : "" Identikit , prego "" 
http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=20919156&End=20919157"
,17,,"Adv1 Conj Adv2
prima o poi","Funzione temporale.
Inserisce l'evento in un arco temporale non definito.",complex adverb,"vagueness, indefinitezza",lexically filled,Prima o poi una gioia!,Una conversazione informale con una mia amica.,"Oppure, prima o poi, la gravità avrà la meglio su galassie e materia e inzierà il collasso.",Corpus: CORIS,Sapevo che prima o poi sarebbe arrivato: questo gol è importante per l'ambiente oltre che per me.,Corpus: CORIS,Magari prima o poi anche lei sarebbe voluta fuggire.,Corpus: CORIS,Ma ci sarà giustizia prima o poi.,Corpus: CORIS,no,Parzialmente deducibile dalle parti della costruzione. Sia prima sia poi sono avverbi di tempo che sono uniti da una congiuzione disgiuntiva.,yes,"La costruzione non può essere modificata, né nell'ordine delle parti né dall'aggiunta di altri elementi all'interno dell'espressione.",no,,no,,no,,Gina Saviano,"Nella consultazione del corpus CORIS ho notato che la costruzione si ripete spesso con verbi del tipo ""sarebbe"", ""avrebbe"", ""dovrà"", ""arriverà"" che rafforzano il grado di incertezza già intrinseco dell'espressione."
,18,,Prepx + Avv/Sostx + Prepy+ Avv/Sosty,Il costrutto indica la modalità o il tempo di svolgimento di un'azione,repetition,"action, time",partially filled/schematic,"Un' amicizia che a poco a poco diventa fratellanza espansa, in una Gerusalemme di contrasti laceranti, di agguati a colpi di sassi e di proiettili.",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=149376816&End=149376819,"Tanis guardò sopra la testa di lei, puntando gli occhi sulla porta decorata attraverso la quale sarebbero entrati quando fosse giunto il loro turno, contemplando con uno sgomento che non riusciva a nascondere lo spettacolo, a mano a mano che si dispiegava davanti_ai suoi occhi.",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=83014793&End=83014796,"Normalmente la mucosa epiteliale orofaringea funge da barriera per il batterio, ma di tanto in tanto l'equilibrio può venir meno, così da consentire lo sviluppo di una grave infezione.",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=91871784&End=91871787,"Per la prima volta dopo tanto tempo, pensò, si trovava a faccia a faccia con una donna che non desiderava niente da lui .",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=82562945&End=82562948,"...le cose potrebbero andare di male in peggio, meglio dunque provvedere all'istante.",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=11680488&End=11680491,no,,yes,"Nella costruzione l'ordine dei costituenti non puo' essere modificato salvo casi in cui la preposizione/avverbio/sostantivo è ripetuta/o, es: a mano a mano; a poco a poco ma non di tanto in tanto.",no,,yes,"La costruzione prevede l'alternanza di una preposizione e di un avverbio/sostantivo, che possono o meno variare nella forma, es.
a faccia a faccia (mancanza di variazione durante la ripetizione della preposizione e del sostantivo);
di tanto in tanto (variazione della preposizione, ma non dell'avverbio);
di male in peggio (variazione della preposizione e dell'avverbio)",no,,Nunziatina Petrelli,
,19,,Fare + Vinf + prep. + qlcn,Porre qualcuno in una situazione di ricezione di un'informazione,light verbs,,partially filled/schematic,"Anzi , visto che ci sei , va ' a casa a far ammirare a tua madre la nuova pettinatura",CORIS,Tenevano tutti in mano la macchina fotografica o la videocamera che puntavano in continuazione a destra e sinistra nel tentativo di ottenere immagini esclusive da far vedere agli amici ,CORIS,,,,,,,yes,Il significato della costruzione non è immediatamente deducibile dalle parti,no,,no,,yes,I Vinf devono essere tendenzialmente verbi di percezione,no,,Giorgia Zantei,
,20,,prendersi + N+Prep +N/V/Pron,costruzione utilizzata per indicare una persona che si attribuisce in autonomia la responsabilità di qualcuno o di svolgere una specifica azione,light verbs,,partially filled/schematic,Possa Egli prendersi cura di noi in modo che insieme possiamo godere dei frutti delle sacre scritture,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=2960907&End=2960907,Per questo il Sistema sanitario nazionale deve prendersi carico della sua disassuefazione,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=16430316&End=16430316,"Il motivo sta nella diminuzione del numero di bambini , nell'emergere di nuove opzioni per prendersi cura dei bambini in modo nuovo , nel prolungamento del congedo genitoriale ( in Slovacchia ) ma anche nelle inasprite tariffe dei servizi",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=19735931&End=19735931,"Per questo i vescovi, personalmente o per mezzo di delegati, devono prendersi cura di promuovere l'arte sacra, antica e moderna, in tutte le sue forme, e di tenere lontano con il medesimo zelo, dalla Liturgia e dagli edifici del culto, tutto ciò che non è conforme alla verità della fede e all'autentica bellezza dell'arte sacra",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=11363672&End=11363672 ,,,no,il significato complessivo della costruzione è deducibile dalla somma dei significati delle parti componenti,no,all’interno della costruzione non sono presenti anomalie dal punto di vista sintattico,yes,il verbo deve necessariamente essere “prender(si)”; la semantica del nome deve veicolare il concetto di responsabilità; la preposizione non può essere omessa,yes,"la costruzione predilige sempre le seguenti categorie grammaticali: N, Pron, V",yes,l’espressione viene preferita ad altre equivalenti anche per rimarcare l’idea di premura verso qualcosa o qualcuno,Gloria Fioroni,
,21,,"V1 + prep + V2
andare a + V","Mette in evidenza il V2, creando delle semantiche diverse:
- Indica l'imminenza dell'evento espresso dal V2 
- Indica lo stato in luogo di qualcosa (es. n°1)
Il verbo andare è semanticamente vuoto.",light verbs,,partially filled/schematic,Porta a toppa - Una porta le cui coste vanno a coprire i bordi della carcassa quando è chiusa.,Corpus: CORIS,Andiamo a vederei la sua seconda pagina.,Corpus: CORIS,"[...] Si va a gestire, in qualche modo, qualcosa che poi tocca [...] e che condiziona la vita.",Corpus: CORIS,"[...] Dice Santina Vinciguerra [...] ""tra qualche settimana andremo a verificare"".",Corpus: CORIS,,,yes,"La semantica della costruzione non è deducibile dalle parti. Il verbo andare perde il suo significato pieno, diventando un verbo leggero.",no,,no,,no,,no,,Gina Saviano,"Frequentemente il V2 è vedere e andare è coniugato alla prima persona plurale, quasi a sottolineare la collettività dell'evento espresso."
,22,,non avere-TNS uno straccio di Nsg,La costruzione enfatizza il mancato possesso di un'entità concreta o astratta.,complex predicates,intensification,partially filled/schematic,"Intanto, però, non ha uno straccio di prova contro nessuno.","http://corpora.ficlit.unibo.it/TCORIS/Wrapper.php
",Ho superato i trenta e non ho uno straccio di donna. ,http://corpora.ficlit.unibo.it/TCORIS/Wrapper.php,George non aveva uno straccio di autorità sul personale.,http://corpora.ficlit.unibo.it/TCORIS/Wrapper.php,se vogliamo essere più esatti non abbiamo uno straccio di spiegazione. ,http://corpora.ficlit.unibo.it/TCORIS/Wrapper.php,da ormai due anni  lavoro in questo paese.,http://corpora.ficlit.unibo.it/TCORIS/Wrapper.php,yes,"La costruzione è idiomatica a livello di funzione perchè il suo significato, pur essendo abbastanza trasparente, non è composizionale.",no,,yes,"La costruzione presenta alcune restrizioni formali: il nome straccio deve comparire necessariamente al singolare, può essere accompagnato solo dall'articolo indeterminativo uno e non può essere modificato, mentre N deve essere un nome singolare senza alcun determinante, che può però avere dei modificatori. ",yes,"N può riferirsi sia a oggetti concreti (documento, laurea, cartello...) che a concetti più astratti (immaginazione, risposta, ragione...). Penso ci siano preferenze collocazionali in quanto ci sono alcuni nomi che non possono occupare la posizione di N.",yes,,Eva Brunetti Busetto,
,23,,"Mettere + in chiaro + X
Alternativa: Mettere + X + in chiaro","Fornire una spiegazione/delucidazione su qualcosa di già avviato o avvenuto, di cui l'interlocutore è a conoscenza, seppure in modo non del tutto veritiero.Generalmente, al fine di evitare fraintendimenti e/o con valore imperativo, di minaccia.",,,partially filled/schematic,Mettiamo in chiaro le cose: tu da questa stanza non esci finchè non mi spieghi che cos'hai!,,Devo mettere le cose in chiaro: non posso più rischiare che Marco lo scopra.,,Deve mettere in chiaro le sue intenzioni una volta per tutte!,,,,,,yes,"Il significato non è composizionale, dunque non deducibile unicamente a partire dai singoli componenti lessicali.",yes,"Il verbo ""mettere"" generalmente presuppone la presenza di un oggetto e di un luogo ove posizionare l'oggetto. In questo caso, non compare l'inserzione di un complemento di luogo: ""in chiaro"" è una espressione convenzionalmente costituita.",yes,"Il verbo che può comparire è soltanto ""mettere"", a sua volta associato unicamente all'espressione ""in chiaro"".V e ""in chiaro"" possono sia trovarsi accostati l'uno all'altro, sia ospitare l'X, l'oggetto, fra di essi.",yes,"X predilige concetti generici, non specificati come: ""la situazione"", ""le cose"", ""le (mie, sue) intenzioni"".",no,,Teresa Franceschi,
,24,,Adj1+Adj2,"Costruzione utilizzata prevalentemente nell'italiano parlato e nel baby talking. La ripetizione dello stesso aggettivo va a rafforzarlo, intensificarlo e chiarirlo. ",repetition,intensification,partially filled/schematic,Bevi piano piano che è fredda,Conversazioni del quotidiano,Se mi abbracci forte forte ti porto al parco,Conversazioni del quotidiano,Mi vuoi bene? Tanto tanto. ,Conversazione mamma-bambino,,,,,yes,Rafforza il significato dell'aggettivo in questione. ,no,,yes,"L'espressione è utilizzata in determinati contesti, solitamente familiari e/o intimi, informali. Solitamente uno dei due partecipanti è un bambino, dato che questa costruzione presuppone un certo tipo di ""tenerezza"". ",no,,yes,L'espressione viene usata solo con un alto grado di familiarità tra gli interlocutori. ,Luciana Di Matteo,
rev,25,,[Che/Cosa/Che cosa [(Obj1) (Obj2) [XV [a fare] ],"La costruzione si configura come domanda retorica che esprime irritazione o critica relativamente all'azione espressa dal verbo flesso, ritenuta inutile o superflua.",WXDY - What’s X doing Y construction,"USELESSNESS, IRRITATION, INTERROGATIVE, EMOTIVE, CRITICISM",partially filled/schematic,Ma che ti lamenti a fare con i voti che hai?,Forum di matematicamente.it 07.10.2015,Ma cosa piangi a fare? Mica pensavi di vincere eh?,sampdoria.forum.free.it 27.10.2020,Allora che me lo dici a fare? Vacci e non rompere.,Forum di riflessioni.it 30.09.2007,Vingenzo (sic) ma che te la prendi a fare così seriamente?  ,forum.metal.it 28.05.2021,Ma cosa fai a fare tutte (sic) quella roba lì che siamo solo noi?,matrimonio.alfemminile.com 14.04.2006,yes,"Seppur non nell'assoluta totalità dei casi, un costrutto privato della costituente invariabile a fare risulterebbe incompleto o incomprensibile: Ma che ti lamenti? potrebbe sostituire Ma che ti lamenti a fare? senza perdita di efficacia semantico-pragmatica. Al contrario, l'interrogativa Cosa studi? non può sostituire Cosa studi a fare? poiché in questo caso la rimozione della costituente invariabile della costruzione priverebbe totalmente il costrutto della sua portata semantica, originando di fatto una frase con grado zero di retoricità da comprendersi alla lettera. ",yes,"La costruzione presenta due elementi fissi: l'argomento invariabile a fare, e il pronome interrogativo espresso variabilmente da che/cosa/che cosa.",yes,La costruzione prevede la presenza obbligatoria di un verbo flesso che precede immediatamente la costituente invariabile a fare.,yes,"Il verbo flesso della costruzione è preceduto frequentemente da uno o due pronomi personali con funzione di complemento di termine e complemento oggetto (es. 3).
Il pronome interrogativo è di frequente preceduto dalla congiunzione avversativa  ma e dall'avverbio allora (rispettivamente, ess. 1,2,5, e es. 3.).
Il costutto è spesso seguito da una frase preposizionale collegata al verbo che assume funzione di complemento e/o da una proposizione condizionale che indica le ragioni di irritazione connesse all'azione espressa da XV  (Cosa mi chiedi a fare di uscire se poi nei giorni seguenti non mi vuoi neanche sentire e tanto meno lasciarmi un sempice numero di cellulare?).
 
 
 
 ",no,,Matilde Secchi,"La costruzione è menzionata in Imperiale, Riccardo, Schafroth, Elmar. ""Fraseologia italiana basata sull’uso: lessicografia digitale per apprendenti tra la frame semantics e la grammatica delle costruzioni."" Italiano LinguaDue 11.1, 2019, pp. 1-28 e analizzata più dettagliatamente in Schafroth, Elmar. ""How constructions should be dealt with in learners’ lexicography–illustrated for the Italian language."" Proceedings of the International Conference “Constructionist Approaches to Language Pedagogy”, Nov. 2013, pp. 1-10."
,26,,Avere + le mani legate,"Esprime un'impossibilità d'agire, di modificare qualcosa, di migliorare una situazione. ",complex predicates,,lexically filled,Ho le mani legate. Non posso fare niente per aiutare Claudia. ,,,,,,,,,,yes,Il significato del sintagma non è automaticamente interpretabile se non da parlanti nativi che siano in possesso della locuzione e del suo significato. L'espressione non è interpretabile se non in riferimento ad una precisa situazione comunicativa che riesca ad esplicitarne il senso. ,no,L'espressione non viola alcuna regola sintattica. ,yes,Si tratta di un idioma fully filled: è unicamente possibile la flessione verbale del verbo Avere. ,yes,Espressione convenzionalizzata in situazioni comunicative colloquiali. ,yes,,Silvia Lomuscio ,
,27,,,"Espressione di parole che obbediscono alle regole sintattiche della lingua ma sono a statuto speciale e non create liberamente. Idiomatica che indica la conseguenza che un determinata azione (nella maggior parte dei casi negativa) ha sugli altri, mette in guardia riguardo qualcosa che può accadere. ",,,fully schematic,,,,,,,,,,,no,,no,,no,,no,,no,,,
,28,,Mandare all'aria - (Det) - (Agg) - N,"Espressione utilizzata per indicare che ""X"" vanifica o causa il fallimento di ""Y"" espresso da N ",,,partially filled/schematic,In fondo è bastato negli ultimi concorsi il sorteggio dei commissari per mandare all' aria le strategie e gli accordi stipulati. ,ITALIAN WEB 2016 (ITTENTEN16) Sketch Engine ,Potrete mangiare fuori tutte le volte che vorrete senza dover rinunciare agli inviti fuori casa per paura di mandare all' aria la dieta.,ITALIAN WEB 2016 (ITTENTEN16) Sketch Engine ,Si preannunciava l'arrivo di 300-400 ultrà serbi con l'obiettivo infiltrarsi tra gli altri tifosi e mandare all' aria la partita. ,ITALIAN WEB 2016 (ITTENTEN16) Sketch Engine ,"Ma quello che non capisco è che non riesco neanche a pensare ai rischi che corro comportandomi così, alla possibilità di mandare all' aria una bellissima storia a causa delle mie paure. ",ITALIAN WEB 2016 (ITTENTEN16) Sketch Engine ,Quando mandò all' aria la tournée combinatagli da George Wein disse soltanto che non se la sentiva.,ITALIAN WEB 2016 (ITTENTEN16) Sketch Engine ,yes,"La costruzione assume il significato traslato di rendere vano qualcosa, compromettere un programma, impedirne la realizzazione. ",no,,yes,"A livello sintattico la costruzione presenta delle restrizioni: 
- N può essere sia posposto che interposto 
- N può essere preceduto da un aggettivo
- la preposizione articolata ""all"" può essere sostituita dalla preposizione semplice ""per"" nella variante 
- talvolta N può essere sostituito dall'aggettivo indefinito ""tutto"" che può essere  interposto o posposto
Anche a livello semantico la costruzione presenta delle restrizioni perché la posizione N può essere riempita solo da alcune parole. N è generalmente un nome comune singolare o plurale, non può riferirsi a persona ma può indicare sia un referente concreto che un referente astratto. ",no,,yes,La costruzione viene solitamente utilizzata nel parlato e in contesti informali. ,Francesca Donadio,
,29,,"è l'ennesima/o + N che + V
V(esserefless) + Det + N + N + Pron. Rel + V(fless)",è usata comunemente come espressione per indicare che stai facendo quell'azione per un numero di volte altissimo (iperbole).,minimally filled idiom,"intensification, IRRITATION, CRITICISM, disappointment",partially filled/schematic,è l'ennesima volta che te lo dico,Italiano colloquiale,è l'ennesima scusa che usi,Italiano colloquiale,è l'ennesimo tentativo che faccio,Treccani online,è l'ennesima prova che Nortan amplia costantemente la propria gamma di prodotti ,Italian Web 2016 (itTenTen16),è solamente l'ennesima rotazione ciclica dei mercati che nessuno può prevedere ,Italian Web 2016 (itTenTen16),no,,no,,no,,no,,yes,Usato per veicolare irritazione e frustrazione da parte del parlante nel ripetere una cosa/azione per quelle che sembrano infinite volte - iperbole.,Arianna Vallorani,
,30,,"A scanso di X
Prep a + N scanso + Prep di + X
X --> N;  Det+ N; Det+Adj+N;  Det1 + Det2 + Adj1 + Adj2 + N; ...","La costruzione è utilizzata per prevenire, evitare o eliminare l'ipotesi che X si verifichi. ","Substantive idiom, unfamiliar piece, unfamiliarly rearranged",,partially filled/schematic,"(A scanso di + N)
A scanso di equivoci , va detto che la scalata di Infront al campionato italiano è tutt ' altro che ostile. ","(corpus) CORIS
http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=47534312&End=47534312","(A scanso di + Adj + N)
Lo fece con la massima attenzione , a scanso di brutte figure.
 ","(corpus) CORIS : 
http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=154151025&End=154151025","(A scanso + Adv + di + Det + Adj + N)
E Livio, a scanso giustamente di ogni antiquato razzismo, ha sbaragliato un’agguerrita concorrenza[...]","(corpus) Paisà corpus dell'italiano: 
https://www.corpusitaliano.it/static/documents/sources/781/7813724","(A scanso di + Det + Adj + N)
A scanso di ogni possibile equivoco, lo slogan è preceduto dall’inciso ""per queste cause"" (""a ces causes"").","(corpus) Paisà corpus dell'italiano: 
https://www.corpusitaliano.it/static/documents/sources/119/1193940","( A scanso di + Det + Adv + Adj + Adj + N)
A scanso di un non auspicato “sad ending” per la storia Saab, il modello dovrebbe essere presentato nel corso del prossimo autunno:","(corpus) Paisà corpus dell'italiano: 
https://www.corpusitaliano.it/static/documents/sources/730/7306809",no,,yes,"Il sostantivo maschile ""scanso"" in forma nominale è una forma anomala poichè utilizzato solo nella locuzione ""A scanso di"". Non esistono (o non sono utilizzate) frasi come ""Lo scanso di Marco nei confronti di Laura o ""La volontà di scanso di questa possibilità"" (risultano non accettabili e non appropriate)...",no,,yes,"- utilizzata prevalentemente nella forma ""A scanso di + Npl"" dove N= equivoci. 
- Generalmente N chiude la costruzione (vedi esempi dai corpora). Si possono tuttavia trovare forme come ""A scanso di chiusura dello stabilimento monzese[...]"" (Corpus CORIS http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=1746810&End=1746810 ) --> dove troviamo ""A scanso di + N + Prepart + N + Adj"" 
- Preferibilmente, N è un nome con una semantica che esprime sfumature di significato negative (equivoci; dubbi; malintesi; errori; guai; polemiche ecc.) proprio in virtù della valenza dell'intera costruzione.",yes,"particolarmente usato - e preferito- in incisi nel linguaggio colloquiale e giornalistico, è ad alto uso quando si vuole scongiurare la teorica eventualità che qualcosa si verifichi. Parzialmente produttivo.",Marco Obino,
,31,,saltare+ N,il verbo saltare non è utilizzato con il suo valore semantico di darsi una spinta verso l'alto bensì indica un'azione che è non è verificata volontariamente o no,,,lexically filled,"Saltare i pasti 
 ","https://www.tuobenessere.it/saltare-i-pasti-cosa-comporta-per-l-organismo/#:~:text=Saltare%20i%20pasti%2C%20purch%C3%A9%20in%20maniera%20sporadica%2C%20pu%C3%B2,i%20liquidi%2C%20donandoci%20una%20piacevole%20sensazione%20di%20leggerezza.","saltare la corrente 
 ",https://luce-gas.it/guida/contatore/salta-la-corrente,saltare la lezione ,"https://www.wikihow.it/Saltare-una-Lezione#:~:text=%20Consigli%20%201%20Se%20vuoi%20saltare%20una,lontano%20dall%27ingresso%20e%20dalle%20telecamere%20che...%20More%20",saltare i piani ,https://www.informazione.it/a/647B53E6-51D8-4509-B6BC-8E3C279F1357/Calciomercato-Inter-il-PSG-fa-saltare-i-piani-nerazzurri-un-Big-dice-addio,,,yes,,no,,no,,no,,no,,Martina Marrocco,
